year,mo,dy, hr, Pmean, Pstdv,  n
2016,09,23, 19, 0.012, 0.000,  1
2016,09,24, 07, 0.115, 0.073,  9
2016,09,24, 08, 0.484, 0.143, 12
2016,09,24, 09, 0.841, 0.200, 12
2016,09,24, 10, 1.351, 0.384, 12
2016,09,24, 11, 2.004, 0.367, 12
2016,09,24, 12, 2.508, 0.055, 12
2016,09,24, 13, 2.410, 0.115, 12
2016,09,24, 14, 2.276, 0.435, 12
2016,09,24, 15, 1.980, 0.310, 12
2016,09,24, 16, 1.238, 0.300, 12
2016,09,24, 17, 0.726, 0.204, 12
2016,09,24, 18, 0.140, 0.112, 11
2016,09,25, 07, 0.123, 0.091,  8
2016,09,25, 08, 0.690, 0.239, 12
2016,09,25, 09, 1.433, 0.209, 12
2016,09,25, 10, 2.037, 0.153, 12
2016,09,25, 11, 2.431, 0.091, 12
2016,09,25, 12, 2.594, 0.030, 12
2016,09,25, 13, 2.596, 0.031, 12
2016,09,25, 14, 2.401, 0.100, 12
2016,09,25, 15, 1.597, 0.663, 12
